Genre,Year,Average Popularity,Average Energy
Metal,1899,0,0
Metal,1901,0,0
Metal,1902,0,0
Metal,1903,0,0
Metal,1904,0,0
Metal,1909,0,0
Metal,1923,0,0
Metal,1924,0,0
Metal,1925,0,0
Metal,1926,0,0
Metal,1927,0,0
Metal,1928,0,0
Metal,1929,0,0
Metal,1930,0,0
Metal,1931,0,0
Metal,1932,0,0
Metal,1933,0,0
Metal,1934,0,0
Metal,1935,0,0
Metal,1936,0,0
Metal,1937,0,0
Metal,1938,0,0
Metal,1939,0,0
Metal,1940,0,0
Metal,1941,0,0
Metal,1942,0,0
Metal,1943,0,0
Metal,1944,0,0
Metal,1945,0,0
Metal,1946,0,0
Metal,1947,0,0
Metal,1948,0,0
Metal,1949,0,0
Metal,1950,0,0
Metal,1951,0,0
Metal,1952,0,0
Metal,1953,0,0
Metal,1954,0,0
Metal,1955,0,0
Metal,1956,0,0
Metal,1957,0,0
Metal,1958,0,0
Metal,1959,0,0
Metal,1960,0,0
Metal,1961,0,0
Metal,1962,0,0
Metal,1963,0,0
Metal,1964,0,0
Metal,1965,0,0
Metal,1966,0,0
Metal,1967,0,0
Metal,1968,40,0.62
Metal,1969,0,0
Metal,1970,55,0.62
Metal,1971,47,0.52
Metal,1972,53,0.76
Metal,1973,36,0.77
Metal,1974,41,0.76
Metal,1975,48,0.75
Metal,1976,43,0.78
Metal,1977,42,0.71
Metal,1978,54,0.81
Metal,1979,56,0.84
Metal,1980,49,0.83
Metal,1981,50,0.86
Metal,1982,44,0.84
Metal,1983,46,0.86
Metal,1984,48,0.84
Metal,1985,40,0.84
Metal,1986,42,0.87
Metal,1987,46,0.87
Metal,1988,41,0.85
Metal,1989,47,0.82
Metal,1990,46,0.85
Metal,1991,52,0.76
Metal,1992,53,0.84
Metal,1993,48,0.8
Metal,1994,45,0.81
Metal,1995,43,0.87
Metal,1996,52,0.91
Metal,1997,38,0.92
Metal,1998,53,0.83
Metal,1999,39,0.83
Metal,2000,47,0.9
Metal,2001,58,0.86
Metal,2002,42,0.89
Metal,2003,48,0.88
Metal,2004,50,0.9
Metal,2005,52,0.89
Metal,2006,51,0.91
Metal,2007,38,0.87
Metal,2008,50,0.93
Metal,2009,40,0.89
Metal,2010,55,0.92
Metal,2011,50,0.95
Metal,2012,49,0.93
Metal,2013,52,0.92
Metal,2014,44,0.95
Metal,2015,49,0.84
Metal,2016,55,0.9
Metal,2017,28,0.97
Metal,2018,57,0.79
Metal,2019,42,0.9
Metal,2020,0,0
Metal,2021,47,0.99
Metal,2022,44,0.98
Metal,2023,0,0
Metal,2024,0,0
Funk,1899,0,0
Funk,1901,0,0
Funk,1902,0,0
Funk,1903,0,0
Funk,1904,0,0
Funk,1909,0,0
Funk,1923,0,0
Funk,1924,0,0
Funk,1925,0,0
Funk,1926,0,0
Funk,1927,0,0
Funk,1928,0,0
Funk,1929,0,0
Funk,1930,0,0
Funk,1931,0,0
Funk,1932,0,0
Funk,1933,0,0
Funk,1934,0,0
Funk,1935,0,0
Funk,1936,0,0
Funk,1937,0,0
Funk,1938,0,0
Funk,1939,0,0
Funk,1940,0,0
Funk,1941,0,0
Funk,1942,0,0
Funk,1943,0,0
Funk,1944,0,0
Funk,1945,0,0
Funk,1946,0,0
Funk,1947,0,0
Funk,1948,0,0
Funk,1949,0,0
Funk,1950,0,0
Funk,1951,0,0
Funk,1952,0,0
Funk,1953,0,0
Funk,1954,0,0
Funk,1955,0,0
Funk,1956,0,0
Funk,1957,0,0
Funk,1958,0,0
Funk,1959,56,0.87
Funk,1960,0,0
Funk,1961,0,0
Funk,1962,51,0.81
Funk,1963,0,0
Funk,1964,20,0.22
Funk,1965,17,0.45
Funk,1966,30,0.3
Funk,1967,14,0.39
Funk,1968,41,0.5
Funk,1969,41,0.67
Funk,1970,44,0.67
Funk,1971,37,0.68
Funk,1972,37,0.71
Funk,1973,32,0.71
Funk,1974,34,0.63
Funk,1975,37,0.62
Funk,1976,30,0.69
Funk,1977,31,0.62
Funk,1978,32,0.71
Funk,1979,24,0.68
Funk,1980,33,0.73
Funk,1981,43,0.56
Funk,1982,31,0.7
Funk,1983,34,0.62
Funk,1984,31,0.66
Funk,1985,27,0.67
Funk,1986,49,0.75
Funk,1987,36,0.52
Funk,1988,27,0.7
Funk,1989,0,0
Funk,1990,0,0
Funk,1991,0,0
Funk,1992,0,0
Funk,1993,0,0
Funk,1994,0,0
Funk,1995,0,0
Funk,1996,0,0
Funk,1997,0,0
Funk,1998,11,0.94
Funk,1999,0,0
Funk,2000,27,0.74
Funk,2001,0,0
Funk,2002,0,0
Funk,2003,0,0
Funk,2004,0,0
Funk,2005,0,0
Funk,2006,0,0
Funk,2007,44,0.39
Funk,2008,0,0
Funk,2009,0,0
Funk,2010,34,0.72
Funk,2011,42,0.49
Funk,2012,14,0.82
Funk,2013,34,0.65
Funk,2014,41,0.68
Funk,2015,56,0.6
Funk,2016,44,0.68
Funk,2017,39,0.55
Funk,2018,55,0.83
Funk,2019,23,0.56
Funk,2020,61,0.67
Funk,2021,0,0
Funk,2022,36,0.69
Funk,2023,45,0.59
Funk,2024,0,0
Rap,1899,0,0
Rap,1901,0,0
Rap,1902,0,0
Rap,1903,0,0
Rap,1904,0,0
Rap,1909,0,0
Rap,1923,0,0
Rap,1924,0,0
Rap,1925,0,0
Rap,1926,0,0
Rap,1927,0,0
Rap,1928,0,0
Rap,1929,0,0
Rap,1930,0,0
Rap,1931,0,0
Rap,1932,0,0
Rap,1933,0,0
Rap,1934,0,0
Rap,1935,0,0
Rap,1936,0,0
Rap,1937,0,0
Rap,1938,0,0
Rap,1939,0,0
Rap,1940,0,0
Rap,1941,0,0
Rap,1942,0,0
Rap,1943,0,0
Rap,1944,0,0
Rap,1945,0,0
Rap,1946,0,0
Rap,1947,0,0
Rap,1948,0,0
Rap,1949,0,0
Rap,1950,0,0
Rap,1951,0,0
Rap,1952,0,0
Rap,1953,0,0
Rap,1954,0,0
Rap,1955,0,0
Rap,1956,0,0
Rap,1957,0,0
Rap,1958,0,0
Rap,1959,0,0
Rap,1960,0,0
Rap,1961,0,0
Rap,1962,0,0
Rap,1963,0,0
Rap,1964,0,0
Rap,1965,0,0
Rap,1966,0,0
Rap,1967,0,0
Rap,1968,0,0
Rap,1969,0,0
Rap,1970,0,0
Rap,1971,0,0
Rap,1972,0,0
Rap,1973,0,0
Rap,1974,0,0
Rap,1975,0,0
Rap,1976,0,0
Rap,1977,0,0
Rap,1978,0,0
Rap,1979,0,0
Rap,1980,0,0
Rap,1981,0,0
Rap,1982,33,0.72
Rap,1983,34,0.78
Rap,1984,0,0
Rap,1985,31,0.57
Rap,1986,41,0.8
Rap,1987,33,0.66
Rap,1988,40,0.76
Rap,1989,34,0.72
Rap,1990,53,0.62
Rap,1991,51,0.77
Rap,1992,55,0.84
Rap,1993,56,0.64
Rap,1994,53,0.64
Rap,1995,49,0.66
Rap,1996,46,0.69
Rap,1997,48,0.66
Rap,1998,55,0.67
Rap,1999,55,0.69
Rap,2000,50,0.7
Rap,2001,56,0.73
Rap,2002,56,0.7
Rap,2003,60,0.73
Rap,2004,57,0.75
Rap,2005,61,0.7
Rap,2006,41,0.72
Rap,2007,57,0.72
Rap,2008,61,0.7
Rap,2009,53,0.75
Rap,2010,63,0.76
Rap,2011,56,0.69
Rap,2012,56,0.7
Rap,2013,62,0.62
Rap,2014,61,0.69
Rap,2015,58,0.67
Rap,2016,59,0.61
Rap,2017,66,0.64
Rap,2018,61,0.63
Rap,2019,65,0.65
Rap,2020,61,0.56
Rap,2021,60,0.6
Rap,2022,59,0.68
Rap,2023,75,0.77
Rap,2024,0,0
Alt. Rock,1899,0,0
Alt. Rock,1901,0,0
Alt. Rock,1902,0,0
Alt. Rock,1903,0,0
Alt. Rock,1904,0,0
Alt. Rock,1909,0,0
Alt. Rock,1923,0,0
Alt. Rock,1924,0,0
Alt. Rock,1925,0,0
Alt. Rock,1926,0,0
Alt. Rock,1927,0,0
